Address,Price,Beds,Baths,Sizes
"263 W 139th St, New York, NY 10030","$3,200,000",4,3.5+,"4,500sqft"
"220 Madison Ave Units 14 & 15H, New York City, NY 10016","$2,300,000",2,2,No display data
"147-43 Ash Ave, Flushing, NY 11355","$2,860,000",7,7.5+,No display data
"2302 Jerome Ave, Brooklyn, NY 11235","$1,299,000",4,2,"2,106sqft"
"3209 Layton Ave, Bronx, NY 10465","$675,000",4,2,"2,100sqft"
"117-36 141st St, Jamaica, NY 11436","$659,000",3,2.5,No display data
"1317 Hollywood Ave, Bronx, NY 10461","$830,000",4,1.5,"2,556sqft"
"226 Union Tpke Unit 3P, New York City, NY 11364","$325,000",2,1,No display data
"37 Spruce Ln, Staten Island, NY 10309","$825,000",4,3.5,"2,800sqft"
"130 Lenox Ave Unit 806, New York City, NY 10026","$535,000",2,1,No display data
"1969 Gerritsen Ave, Marine Park, NY 11234","$799,000",2,1.5,"1,120sqft"
"102 Bradhurst Ave Apt 909, New York City, NY 10039","$849,000",2,2,"1,005sqft"
"69-43 Thursby Ave, Arverne, NY 11692","$829,000",5,2.5,"2,068sqft"
"32 Moreno Ct, Staten Island, NY 10309","$888,000",4,3.5,"2,400sqft"
"217 W 57th St Apt 91E, New York City, NY 10019","$34,000,000",4,4,"4,296sqft"
"280 Grafton St, Brownville, NY 11212","$899,000",8,3,"3,250sqft"
"117 Bradford St, Brooklyn, NY 11207","$899,000",5,3,"2,200sqft"
"53 Lander Ave, Staten Island, NY 10314","$975,000",3,2.5+,"2,058sqft"
"65-50 Wetherole St Unit 1M, Rego Park, NY 11374","$699,000",2,1,No display data
"90-59 56th Ave Unit 8C, Elmhurst, NY 11373","$408,000",2,1,850sqft
"72-06 243rd St, Little Neck, NY 11362","$1,388,888",6,3.5+,No display data
"1549 Marine Pkwy, Brooklyn, NY 11234","$825,000",3,2.5,"1,504sqft"
No display data,"$1,900,000",5,3.5,No display data
"505 W 43rd St Apt 5F, New York, NY 10036","$1,845,000",2,2,"1,041sqft"
"505 W 43rd St Apt 8J, New York, NY 10036","$2,295,000",3,2.5,"1,302sqft"
"505 W 43rd St Apt 12A, New York, NY 10036","$2,115,000",2,2,"1,165sqft"
"18 Troutman St, New York City, NY 11385","$3,000,000",4,3,No display data
"1413 E 14th St, Brooklyn, NY 11230","$1,375,000",5,4.5,No display data
"33-40 81st St Unit 41, Queens, NY 11372","$950,000",3,2,"1,300sqft"
"108 E 91st St Apt 6B, New York, NY 10128","$1,150,000",2,1,No display data
"212 W 93rd St Apt 3A, New York City, NY 10025","$3,100,000",3,2.5,"1,542sqft"
"212 W 93rd St Apt 4B, New York City, NY 10025","$2,850,000",3,2.5,"1,527sqft"
"567 Ocean Ave Apt A804, Brooklyn, NY 11226","$1,007,000",2,2,930sqft
"37-35 Douglas Rd, Douglaston, NY 11363","$849,000",4,2.5,"3,036sqft"
"114-33 139 St, Jamaica, NY 11436","$679,000",3,2.5,"1,500sqft"
"2251 Story Ave, Bronx, NY 10473","$570,000",4,2,"2,072sqft"
"210 Fleet Ct Unit 16210, Bronx, NY 10473","$389,000",2,1.5,"1,105sqft"
"180 Dongan St, Staten Island, NY 10310","$549,999",3,1,"1,266sqft"
"162-41 Powells Cove Blvd Unit 6D, Beechhurst, NY 11357","$698,888",3,2,"1,800sqft"
"9602 159th Ave, Howard Beach, NY 11414","$828,888",3,2,"1,293sqft"
"528 Eltingville Blvd, Staten Island, NY 10312","$975,000",3,2.5,"2,600sqft"
"16-29 212 St Unit 105, Bayside, NY 11360","$365,000",2,1,No display data
"120-30 147th St, Jamaica, NY 11436","$669,000",4,3.5,"1,326sqft"
"280 Grafton St, Brownville, NY 11212","$899,000",8,3,"3,250sqft"
"223 Westervelt Ave, Staten Island, NY 10301","$845,000",4,3,"2,080sqft"
"1775 Madison Ave Unit 5AD, New York City, NY 10035","$400,000",2,1,600sqft
"3615 Avenue T, Brooklyn, NY 11234","$865,000",3,2,"2,139sqft"
"26 Ely St, Staten Island, NY 10301","$638,000",6,2,"1,554sqft"
"52-26 Douglaston Pkwy, Douglaston, NY 11362","$1,399,000",2,2.5,"2,112sqft"
"156-25 76th St, Howard Beach, NY 11414","$1,299,000",6,4,No display data
"70 108th St Unit 12E, New York City, NY 11375","$615,000",2,1,940sqft
"85-05 Eliot Ave, Rego Park, NY 11374","$950,000",3,2,No display data
"59-40 164th St, Flushing, NY 11365","$788,000",3,2,"1,428sqft"
"24 Poi Ct, Staten Island, NY 10314","$1,100,000",4,3.5,"2,516sqft"
"149-45 257th St, Jamaica, NY 11422","$1,200,000",6,5,No display data
"41 Chapin Ave, Staten Island, NY 10304","$989,900",3,1.5,"2,250sqft"
"1563 W 5th St Unit 3A, Brooklyn, NY 11204","$699,000",3,2,"1,000sqft"
"11 49th Ave Unit 2C, New York City, NY 11101","$1,295,000",2,2,"1,060sqft"
"163-04 20th Ave, Whitestone, NY 11357","$1,088,000",4,3,"1,342sqft"
"358 52nd St, Brooklyn, NY 11220","$1,248,000",5,3,"2,232sqft"
"40 E 80th St Apt 21A, New York, NY 10075","$1,695,000",3,3,"2,000sqft"
"1765 W 6th St, Brooklyn, NY 11223","$1,250,000",3,2.5,"1,368sqft"
"251 Warren St, New York City, NY 11201","$3,250,000",5,3,"2,660sqft"
"2100 Bedford Ave Apt 4A, New York City, NY 11226","$969,999",2,2,"1,031sqft"
"313 W 55th St, New York City, NY 10019","$4,200,000",4,8,"4,732sqft"
"111 Ainslie St, New York City, NY 11211","$2,799,000",8,5,No display data
"35 Andros Ave, New York City, NY 10303","$550,000",4,2,"1,582sqft"
"2138 Bruckner Blvd, Bronx, NY 10473","$574,888",4,2,"1,600sqft"
"3021 Avenue Z Apt 4C, Brooklyn, NY 11235","$249,000",2,1,"1,100sqft"
"87-30 204 St Unit B74, Hollis, NY 11423","$253,555",2,1,No display data
"1425 Thieriot Ave Apt 6K, Bronx, NY 10460","$185,000",2,1,900sqft
"247-01B 77 Cres Unit Upper, Glen Oaks, NY 11004","$410,000",2,1,No display data
"109-41 125th St, South Ozone Park, NY 11420","$610,000",3,2,No display data
"220-16 73rd St Unit Upper, Oakland Gardens, NY 11364","$319,000",2,1,No display data
